Model,Accuracy,ROC_AUC,F1_Score,Precision,Recall
RandomForestClassifier,0.9047619047619048,0.9766398158803222,0.8888888888888888,0.8674698795180723,0.9113924050632911
SVC,0.9206349206349206,0.9753739930955121,0.9044585987261147,0.9102564102564102,0.8987341772151899
GradientBoostingClassifier,0.9259259259259259,0.9721518987341772,0.9113924050632911,0.9113924050632911,0.9113924050632911
XGBClassifier,0.91005291005291,0.9719217491369391,0.8944099378881988,0.8780487804878049,0.9113924050632911
AdaBoostClassifier,0.9206349206349206,0.9701956271576525,0.9079754601226993,0.8809523809523809,0.9367088607594937
DecisionTreeClassifier,0.8835978835978836,0.9617376294591485,0.8658536585365854,0.8352941176470589,0.8987341772151899
